prompt,use_case,prompt_complexity,clarity,old_prompt_complexity,complexity_reason,label_source
Create a message about something important,text-generation,low,UNCLEAR,low,"Simple message about something important, no complex constraints or reasoning.",openai:gpt-4.1-mini
Create a message explaining rescheduling of a meeting with reasons,text-generation,mid,PARTIAL,mid,Message creation with explanation and reasons involves moderate reasoning and multiple instructions.,openai:gpt-4.1-mini
Create a message inviting classmates to a group study session tomorrow evening,text-generation,low,CLEAR,low,"Simple invitation message with clear instructions, straightforward task.",openai:gpt-4.1-mini
Create a message inviting colleagues for a small celebration at a specific time,text-generation,low,CLEAR,low,"Simple invitation message with specific time, minimal complexity.",openai:gpt-4.1-mini
Create a message inviting friends to a movie night with time and place mentioned,text-generation,low,CLEAR,low,"Simple invitation message with time and place, straightforward.",openai:gpt-4.1-mini
Create a message thanking a team for completing a project,text-generation,low,CLEAR,mid,"Simple thank you message, minimal reasoning or constraints.",openai:gpt-4.1-mini
Create a paragraph about a game,text-generation,low,PARTIAL,low,"Simple paragraph about a game, straightforward writing task.",openai:gpt-4.1-mini
Create a paragraph about a trip you enjoyed,text-generation,low,PARTIAL,low,"Simple writing task to create a paragraph about a personal trip, minimal constraints.",openai:gpt-4.1-mini
Create a paragraph about something,text-generation,low,PARTIAL,low,"Very general writing prompt to create a paragraph about something, straightforward.",openai:gpt-4.1-mini
Create a paragraph about something fun you did,text-generation,low,PARTIAL,low,"Simple writing prompt to create a paragraph about a fun activity, minimal complexity.",openai:gpt-4.1-mini
Create a paragraph about something you enjoy,text-generation,low,PARTIAL,low,"Basic writing prompt to create a paragraph about something enjoyable, no complex constraints.",openai:gpt-4.1-mini
Create a paragraph about something you like,text-generation,low,PARTIAL,low,"Simple paragraph creation about something liked, straightforward task.",openai:gpt-4.1-mini
Create a paragraph about your favorite activity and what you do in it,text-generation,low,PARTIAL,low,"Basic writing prompt with a slight extension to describe favorite activity and actions, still simple.",openai:gpt-4.1-mini
Create a platform backend that integrates with third-party services and manages some workflows.,code-generation,high,PARTIAL,high,"System design level task requiring backend platform creation with third-party integration and workflow management, complex multi-component design.",openai:gpt-4.1-mini
Create a professional email requesting technical support with issue details,text-generation,mid,PARTIAL,mid,Professional email generation with technical support request and issue details requires moderate constraint handling and clarity.,openai:gpt-4.1-mini
Create a professional invitation message for an event,text-generation,mid,PARTIAL,mid,Professional invitation message creation involves moderate formatting and tone constraints.,openai:gpt-4.1-mini
Create a report about apps,text-generation,mid,PARTIAL,mid,"Report creation about apps requires structured content and some organization, moderate complexity.",openai:gpt-4.1-mini
Create a report about why app users are reducing,text-generation,mid,PARTIAL,mid,"Requires generating a report analyzing reasons for user reduction, involving moderate reasoning and explanation.",openai:gpt-4.1-mini
Create a report comparing strategies,text-generation,mid,PARTIAL,mid,"Requires comparing strategies in a report, involving moderate reasoning and structured comparison.",openai:gpt-4.1-mini
Create a report explaining how technology improves productivity,text-generation,mid,PARTIAL,mid,"Requires explaining how technology improves productivity, involving moderate reasoning and explanation.",openai:gpt-4.1-mini
Create a short explanation of why teamwork is important in school projects,text-generation,low,CLEAR,low,"Simple short explanation about teamwork importance, straightforward factual writing.",openai:gpt-4.1-mini
Create a short message about something,text-generation,low,UNCLEAR,low,"Very vague short message creation with minimal constraints, simple writing.",openai:gpt-4.1-mini
Create a short note reminding someone about an upcoming meeting tomorrow,text-generation,low,CLEAR,low,"Short note reminding about a meeting, straightforward and simple task.",openai:gpt-4.1-mini
Create a short note reminding someone to complete a task today,text-generation,low,CLEAR,low,"Short note reminding to complete a task, simple and direct.",openai:gpt-4.1-mini
Create a short reminder message for a friend about an event tomorrow,text-generation,low,CLEAR,low,"Short reminder message for a friend, simple and direct writing.",openai:gpt-4.1-mini
Create a short thank-you note for someone who helped you complete a task,text-generation,low,CLEAR,low,"Short thank-you note, straightforward and simple writing.",openai:gpt-4.1-mini
Create a simple note about something,text-generation,low,PARTIAL,low,"Simple note about something, minimal constraints and straightforward.",openai:gpt-4.1-mini
Create a simple note asking for help,text-generation,low,PARTIAL,low,Simple writing task with minimal constraints to create a basic note.,openai:gpt-4.1-mini
Create a simple note asking someone to call you back,text-generation,low,PARTIAL,low,Simple writing task with minimal constraints to create a basic note.,openai:gpt-4.1-mini
Create a simple note for someone,text-generation,low,PARTIAL,low,Very general and simple writing prompt with minimal constraints.,openai:gpt-4.1-mini
Create a SQL query to find the top 10 highest-selling products in the last 30 days.,text-generation,low,CLEAR,low,Direct factual coding task to create a straightforward SQL query with clear requirements.,openai:gpt-4.1-mini
Create a structured report analyzing how decision-making changes under incomplete information conditions,text-generation,mid,CLEAR,high,"Requires structured report with analysis on decision-making under incomplete information, involving moderate reasoning and organization.",openai:gpt-4.1-mini
Create a structured report analyzing reasons for declining user engagement in a mobile app,text-generation,mid,CLEAR,mid,"Requires structured report analyzing reasons for declining user engagement, involving moderate reasoning and multiple points.",openai:gpt-4.1-mini
Create a technical article describing how system boundaries influence overall system behavior,text-generation,mid,CLEAR,high,Technical article describing system boundaries and their influence requires moderate reasoning and explanation.,openai:gpt-4.1-mini
Create a thank-you message for receiving a gift from a friend,text-generation,low,CLEAR,low,Simple writing task to create a thank-you message with minimal constraints.,openai:gpt-4.1-mini
Create a thank-you message for receiving help during a difficult situation,text-generation,low,CLEAR,low,Simple writing task to create a thank-you message with minimal constraints.,openai:gpt-4.1-mini
Create a thank-you note for a teacher who guided you in studies,text-generation,low,CLEAR,low,Simple writing task to create a thank-you note with minimal constraints.,openai:gpt-4.1-mini
Create an architecture that is good and scalable.,code-generation,high,PARTIAL,high,"The prompt asks to create a scalable architecture, which implies system design and advanced reasoning about scalability and architecture principles, a complex multi-step task.",openai:gpt-4.1-mini
Create an article about internet,text-generation,mid,PARTIAL,mid,Creating an article about the internet requires moderate reasoning and content organization but is a common text generation task with moderate complexity.,openai:gpt-4.1-mini
Create an article about privacy online,text-generation,mid,PARTIAL,mid,"Similar to prompt 202, creating an article about privacy online involves moderate reasoning and content structuring.",openai:gpt-4.1-mini
Create any message,text-generation,low,UNCLEAR,low,"The prompt is very vague and simply asks to create any message, a straightforward text generation task with minimal constraints.",openai:gpt-4.1-mini
Create article about system boundaries,text-generation,mid,PARTIAL,high,Creating an article about system boundaries requires moderate reasoning and structuring of content on a technical topic.,openai:gpt-4.1-mini
Create explanation,text-generation,low,UNCLEAR,high,"The prompt asks to create an explanation without specifying topic or constraints, a simple text generation task.",openai:gpt-4.1-mini
Create explanation about constraints in systems,text-generation,mid,PARTIAL,high,Creating an explanation about constraints in systems requires moderate reasoning and some technical understanding.,openai:gpt-4.1-mini
Create guide about constraints,text-generation,mid,PARTIAL,high,"Creating a guide about constraints involves multiple steps and structuring content with some instructional clarity, moderate complexity.",openai:gpt-4.1-mini
Create invitation message,text-generation,low,PARTIAL,mid,Creating an invitation message is a straightforward text generation task with minimal complexity.,openai:gpt-4.1-mini
Create message,text-generation,low,UNCLEAR,mid,"The prompt is vague and simply asks to create a message, a basic text generation task with minimal constraints.",openai:gpt-4.1-mini
Create message about event,text-generation,low,PARTIAL,mid,"Simple, direct instruction to create a message about an event, minimal constraints or reasoning.",openai:gpt-4.1-mini
Create message about meeting change,text-generation,low,PARTIAL,mid,"Similar to 211, straightforward message creation about a meeting change, no complex constraints.",openai:gpt-4.1-mini
Create report,text-generation,mid,UNCLEAR,high,"Creating a report generally requires some structure and organization, moderate reasoning despite unclear details.",openai:gpt-4.1-mini
Create report about decisions with missing information,text-generation,high,PARTIAL,high,Report about decisions with missing information implies complex reasoning to handle incomplete data and produce coherent output.,openai:gpt-4.1-mini
Create report about optimization trade-offs,text-generation,high,PARTIAL,high,"Report about optimization trade-offs requires advanced reasoning, analysis, and explanation of complex concepts.",openai:gpt-4.1-mini
Create report about strategies,text-generation,mid,PARTIAL,mid,Report about strategies involves moderate reasoning and organization but less complexity than trade-offs.,openai:gpt-4.1-mini
Create report about technology,text-generation,mid,PARTIAL,mid,Report about technology requires moderate reasoning and structured content generation.,openai:gpt-4.1-mini
Create something about conflicts,text-generation,mid,UNCLEAR,high,"Creating content about conflicts requires some reasoning and organization, but details are unclear.",openai:gpt-4.1-mini
Create something about time,text-generation,mid,UNCLEAR,mid,Creating content about time involves moderate reasoning and structuring despite unclear prompt.,openai:gpt-4.1-mini
Design a complete solution for a tech startup idea.,code-generation,high,PARTIAL,high,"Designing a complete solution for a tech startup idea involves system-level design, multiple components, and advanced reasoning.",openai:gpt-4.1-mini
Design a declarative data validation framework in Python where validation rules are defined as class-level annotations supports nested objects and lists and returns structured error reports with field paths.,code-generation,high,CLEAR,high,"Requires designing a declarative validation framework with class-level annotations, nested object support, and structured error reporting, involving complex design and multiple interacting components.",openai:gpt-4.1-mini
Design a microservices architecture for an e-commerce platform with separate services for user auth product catalog order management and payment processing communicating via a message broker like RabbitMQ.,code-generation,high,PARTIAL,high,"Involves designing a microservices architecture for an e-commerce platform with multiple services and message broker communication, requiring system-level design and tradeoff considerations.",openai:gpt-4.1-mini
Design a microservices-based application for a common use case with proper inter-service communication.,code-generation,high,PARTIAL,high,General microservices-based application design with proper inter-service communication implies system-level architecture and complex design decisions.,openai:gpt-4.1-mini
Design a multi-agent simulation framework in Python where agents have individual state and behavior rules interact with a shared environment and the system supports configurable tick rates and pluggable rendering backends.,code-generation,high,PARTIAL,high,"Designing a multi-agent simulation framework with individual agent states, behaviors, shared environment, configurable tick rates, and pluggable rendering involves complex multi-component system design.",openai:gpt-4.1-mini
Design a plugin architecture in Python where plugins are loaded dynamically from a directory register themselves via entry points can extend a core application's behavior and are isolated to prevent crashes from affecting the host.,code-generation,high,PARTIAL,high,"Designing a plugin architecture with dynamic loading, registration via entry points, behavior extension, and crash isolation requires advanced system design and robustness considerations.",openai:gpt-4.1-mini
Design a recommendation engine in Python that builds a user-item interaction matrix from event logs applies collaborative filtering using matrix factorization and serves personalized top-N recommendations via a REST API.,code-generation,high,CLEAR,high,"Designing a recommendation engine with matrix factorization, user-item interaction matrix, and REST API serving involves complex algorithm implementation and system integration.",openai:gpt-4.1-mini
Design a stack supporting getMin in O(1),code-generation,mid,CLEAR,low,"Designing a stack supporting getMin in O(1) is a classic coding problem requiring a bounded, complete solution with moderate reasoning.",openai:gpt-4.1-mini
Design a type-safe ORM in Python using metaclasses that maps Python classes to database tables supports relationships one-to-many many-to-many lazy loading and generates parameterized SQL queries.,code-generation,high,PARTIAL,high,"Designing a type-safe ORM with metaclasses, relationship support, lazy loading, and parameterized SQL generation involves complex design and multiple interacting components.",openai:gpt-4.1-mini
Design a workflow engine in Python that executes directed acyclic graphs DAGs of tasks resolves dependencies runs independent tasks in parallel handles retries and supports pause/resume of running workflows.,code-generation,high,CLEAR,high,"Designing a workflow engine handling DAG execution, dependency resolution, parallelism, retries, and pause/resume requires complex system design and concurrency handling.",openai:gpt-4.1-mini
Design an API system that is scalable secure and handles multiple types of requests.,code-generation,high,PARTIAL,high,"Designing a scalable, secure API system handling multiple request types implies system-level architecture and multiple complex constraints.",openai:gpt-4.1-mini
Design and build a GraphQL API in Node.js using Apollo Server with resolvers for a social media platform including nested queries for posts comments likes and user followers backed by PostgreSQL.,code-generation,high,PARTIAL,high,"Designing and building a GraphQL API with nested queries, resolvers, and PostgreSQL backend involves system design, multiple interacting components, and complex data relationships.",openai:gpt-4.1-mini
Design and build a multi-region data replication system in Python where writes to a primary region are asynchronously replicated to secondaries conflicts are resolved using last-write-wins with vector clocks and lag is monitored.,code-generation,high,CLEAR,high,"Designing a multi-region data replication system with asynchronous replication, conflict resolution using vector clocks, and lag monitoring requires advanced distributed systems design and complex multi-step reasoning.",openai:gpt-4.1-mini
Design and implement a data pipeline framework in Python where pipelines are defined as composable steps in YAML support parallel branches allow conditional execution and emit structured metrics for each step run.,code-generation,high,PARTIAL,high,"Designing and implementing a data pipeline framework with composable steps, parallel branches, conditional execution, and structured metrics involves complex system design and multiple interacting components.",openai:gpt-4.1-mini
Design and implement a distributed tracing system in Python where each service call generates a trace span with timing and metadata spans are propagated via HTTP headers and a collector aggregates them into complete traces.,code-generation,high,PARTIAL,high,"Designing and implementing a distributed tracing system with span generation, propagation via HTTP headers, and aggregation requires advanced system design and multi-component integration.",openai:gpt-4.1-mini
Design and implement a log aggregation system in Python that collects logs from multiple sources via a TCP socket parses structured log formats indexes them in Elasticsearch and exposes a query API.,code-generation,high,CLEAR,high,"Designing and implementing a log aggregation system with multi-source collection, parsing, indexing in Elasticsearch, and query API involves complex system design and multiple interacting components.",openai:gpt-4.1-mini
Design and implement a RESTful API in Python using FastAPI with JWT authentication role-based access control and CRUD endpoints for a user management system backed by PostgreSQL.,code-generation,high,CLEAR,high,"Designing and implementing a RESTful API with JWT authentication, role-based access control, CRUD endpoints, and PostgreSQL backend requires comprehensive system design and security considerations.",openai:gpt-4.1-mini
Design and implement a service mesh sidecar proxy in Python that intercepts all inbound and outbound HTTP traffic for a service enforces circuit breaking collects latency metrics and reports them to a central collector.,code-generation,high,PARTIAL,high,"Designing and implementing a service mesh sidecar proxy with traffic interception, circuit breaking, metrics collection, and reporting involves complex system design and multi-component interaction.",openai:gpt-4.1-mini
Design and implement an OAuth 2.0 authorization server in Python supporting the authorization code flow with PKCE token issuance refresh token rotation and token introspection endpoints.,code-generation,high,CLEAR,high,"Designing and implementing an OAuth 2.0 authorization server with authorization code flow, PKCE, token issuance, refresh token rotation, and introspection endpoints requires advanced security protocol implementation and system design.",openai:gpt-4.1-mini
Detect cycle in linked list using Floyd algorithm,code-generation,low,CLEAR,low,Detecting a cycle in a linked list using Floyd's algorithm is a straightforward coding task involving a well-known algorithm with simple reasoning steps.,openai:gpt-4.1-mini
Do it like before but better.,text-generation,low,UNCLEAR,low,"The prompt is vague and minimal, implying a simple or unclear task without complexity or constraints.",openai:gpt-4.1-mini
Draft a professional email to a client explaining that the project timeline has moved by two weeks.,text-generation,low,CLEAR,low,Simple writing task with a straightforward instruction to draft a professional email explaining a timeline change.,openai:gpt-4.1-mini
Explain machine learning for beginners.,text-generation,low,CLEAR,low,"Direct factual explanation task aimed at beginners, requiring simple and clear language without complex reasoning.",openai:gpt-4.1-mini
Find any peak element index in array,code-generation,mid,CLEAR,low,"Code task requiring implementation of an algorithm to find a peak element index, involving moderate reasoning about array properties.",openai:gpt-4.1-mini
Find center of star graph,text-generation,mid,CLEAR,low,"Code or reasoning task to find the center of a star graph, requiring understanding of graph structure and moderate algorithmic logic.",openai:gpt-4.1-mini
Find first unique character in a string,code-generation,low,CLEAR,low,"Basic code task to find the first unique character in a string, a straightforward algorithmic problem.",openai:gpt-4.1-mini
Find LCA in BST,code-generation,mid,CLEAR,low,"Code task to find Lowest Common Ancestor in a BST, requiring understanding of tree traversal and BST properties.",openai:gpt-4.1-mini
Find length of last word in string,code-generation,low,CLEAR,low,"Simple code task to find length of last word in a string, involving basic string manipulation.",openai:gpt-4.1-mini
Find majority element using Boyer-Moore voting,code-generation,mid,CLEAR,low,"Code task implementing Boyer-Moore voting algorithm, requiring understanding of a specific algorithm and its application.",openai:gpt-4.1-mini
Find maximum depth of binary tree,code-generation,mid,CLEAR,low,"Code task to find maximum depth of binary tree, involving tree traversal and recursion or iteration.",openai:gpt-4.1-mini
Find maximum value in BST,code-generation,low,CLEAR,low,"Basic code task to find maximum value in BST, straightforward traversal or property use.",openai:gpt-4.1-mini
Find middle of linked list using slow-fast pointers,code-generation,mid,CLEAR,low,"Requires implementing a known algorithm using slow and fast pointers, involving moderate reasoning about linked list traversal.",openai:gpt-4.1-mini
Find minimum value in BST,code-generation,low,CLEAR,low,"Simple traversal to find minimum value in BST, straightforward coding task.",openai:gpt-4.1-mini
Find missing number in range 0 to n using XOR,text-generation,low,CLEAR,mid,"Basic algorithmic task using XOR to find missing number, straightforward logic.",openai:gpt-4.1-mini
Find pivot index of array,code-generation,low,CLEAR,low,"Simple array traversal to find pivot index, direct coding task.",openai:gpt-4.1-mini
Find richest customer wealth,code-generation,low,CLEAR,low,"Basic aggregation task to find richest customer wealth, straightforward.",openai:gpt-4.1-mini
Find single number using XOR,code-generation,low,CLEAR,low,"Simple XOR operation to find single number, direct coding task.",openai:gpt-4.1-mini
Find the town judge,text-generation,mid,CLEAR,low,"Requires reasoning about relationships to identify town judge, involves moderate logical deduction.",openai:gpt-4.1-mini
Find two indices whose sum equals target using hashmap,code-generation,mid,CLEAR,low,"Requires use of hashmap and two-pointer logic to find indices summing to target, moderate complexity.",openai:gpt-4.1-mini
Five cards are drawn from a standard 52-card deck without replacement. What is the probability that exactly 3 of the 5 cards are hearts? Show the combinatorial reasoning using combinations and explain each part of the formula.,reasoning,mid,CLEAR,mid,"Requires combinatorial reasoning and explanation of probability formula, multiple reasoning steps.",openai:gpt-4.1-mini
Fix this code.,text-generation,low,UNCLEAR,low,"Unclear prompt but likely a simple code fix task, minimal complexity.",openai:gpt-4.1-mini
Generate a comparison article between online and offline learning with clear examples,text-generation,mid,CLEAR,mid,"Requires generating a comparison article with clear examples, involving moderate reasoning and structured writing.",openai:gpt-4.1-mini
Generate a comparison between two apps based on usability,text-generation,mid,PARTIAL,mid,"Requires comparison between two apps based on usability, involving moderate reasoning and some analysis despite partial clarity.",openai:gpt-4.1-mini
Generate a comparison between two learning methods,text-generation,mid,PARTIAL,mid,"Requires generating a comparison between two learning methods, involving moderate reasoning and structured writing.",openai:gpt-4.1-mini
Generate a comparison of two job roles with responsibilities,text-generation,mid,PARTIAL,mid,"Requires comparison of two job roles with responsibilities, involving moderate reasoning and structured content generation.",openai:gpt-4.1-mini
Generate a comprehensive guide explaining how to design systems resilient to adversarial inputs,text-generation,high,CLEAR,high,"Requires generating a comprehensive guide on designing systems resilient to adversarial inputs, involving complex system design and advanced technical concepts.",openai:gpt-4.1-mini
Generate a comprehensive guide explaining how uncertainty propagates across multi-stage processes,text-generation,high,CLEAR,high,"Requires generating a comprehensive guide explaining uncertainty propagation across multi-stage processes, involving complex multi-step reasoning and technical depth.",openai:gpt-4.1-mini
Generate a guide explaining how to use a new software tool step-by-step,text-generation,mid,PARTIAL,mid,"Requires generating a step-by-step guide for using new software, involving multiple instructions and moderate complexity.",openai:gpt-4.1-mini
Generate a message congratulating a friend on passing an exam,text-generation,low,CLEAR,low,"Simple writing prompt to generate a congratulatory message, straightforward and minimal constraints.",openai:gpt-4.1-mini
Generate a paragraph about a day,text-generation,low,UNCLEAR,low,"Simple prompt to generate a paragraph about a day, straightforward with minimal constraints despite unclear clarity.",openai:gpt-4.1-mini
Generate a paragraph about a happy memory,text-generation,low,PARTIAL,low,"Simple prompt to generate a paragraph about a happy memory, straightforward with minimal constraints.",openai:gpt-4.1-mini
Generate a paragraph about a topic,text-generation,low,PARTIAL,low,"Simple writing prompt with minimal constraints, straightforward generation of a paragraph about a topic.",openai:gpt-4.1-mini
Generate a paragraph about a weekend,text-generation,low,PARTIAL,low,"Simple writing prompt with minimal constraints, straightforward generation of a paragraph about a weekend.",openai:gpt-4.1-mini
Generate a paragraph about anything,text-generation,low,UNCLEAR,low,"Simple writing prompt with minimal constraints, generation of a paragraph about anything.",openai:gpt-4.1-mini
Generate a paragraph about something good,text-generation,low,PARTIAL,low,"Simple writing prompt with minimal constraints, generation of a paragraph about something good.",openai:gpt-4.1-mini
Generate a paragraph about the importance of healthy eating habits,text-generation,low,CLEAR,low,"Simple writing prompt with minimal constraints, generation of a paragraph about the importance of healthy eating habits.",openai:gpt-4.1-mini
Generate a paragraph about the importance of regular exercise,text-generation,low,CLEAR,low,"Simple writing prompt with minimal constraints, generation of a paragraph about the importance of regular exercise.",openai:gpt-4.1-mini
Generate a paragraph about the importance of time management in daily life,text-generation,low,CLEAR,low,"Simple writing prompt with minimal constraints, generation of a paragraph about the importance of time management in daily life.",openai:gpt-4.1-mini
Generate a scenario about handling complaints,text-generation,low,PARTIAL,mid,"Simple writing prompt with minimal constraints, generation of a scenario about handling complaints.",openai:gpt-4.1-mini
Generate a scenario about problems,text-generation,low,UNCLEAR,mid,"Simple writing prompt with minimal constraints, generation of a scenario about problems.",openai:gpt-4.1-mini
Generate a scenario describing how to handle customer complaints effectively,text-generation,low,CLEAR,mid,"Simple writing prompt with minimal constraints, generation of a scenario describing how to handle customer complaints effectively.",openai:gpt-4.1-mini
Generate a short story about a child overcoming fear of speaking in public,text-generation,low,CLEAR,low,Simple creative writing task with a straightforward theme and minimal constraints.,openai:gpt-4.1-mini
Generate a short story about a child who finds a lost wallet and returns it,text-generation,low,CLEAR,low,"Basic short story generation with a clear, simple plot.",openai:gpt-4.1-mini
Generate a short story about a person helping a stranger in need,text-generation,low,CLEAR,low,Direct short story prompt with a simple theme and no complex constraints.,openai:gpt-4.1-mini
Generate a short story about a student learning a valuable lesson from failure,text-generation,low,CLEAR,low,Simple narrative generation about a common theme with no additional complexity.,openai:gpt-4.1-mini
Generate a small story about helping someone in need,text-generation,low,PARTIAL,low,Basic short story generation with a general theme and minimal detail required.,openai:gpt-4.1-mini
Generate a small story about making a mistake,text-generation,low,PARTIAL,low,Simple story prompt about a common event with no complex instructions.,openai:gpt-4.1-mini
Generate a story about something happening,text-generation,low,PARTIAL,low,Very general story prompt with no complexity or constraints.,openai:gpt-4.1-mini
Generate a story without details,text-generation,low,UNCLEAR,low,"Vague story prompt with minimal detail, implying a simple generation task.",openai:gpt-4.1-mini
"Generate a structured analysis explaining trade-offs between scalability, consistency, and availability in distributed architectures with real-world examples",text-generation,high,CLEAR,high,"Requires structured analysis with multiple technical trade-offs and real-world examples, implying deep domain knowledge and multi-step reasoning.",openai:gpt-4.1-mini
Generate a structured essay explaining how multiple simultaneous failures interact to produce cascading breakdowns,text-generation,high,CLEAR,high,"Demands a structured essay explaining complex interactions of multiple failures, requiring advanced reasoning and detailed explanation.",openai:gpt-4.1-mini
Generate a structured essay explaining trade-offs between modularity and performance in systems,text-generation,high,PARTIAL,high,"Requires a structured essay explaining trade-offs between modularity and performance in systems, involving complex multi-step reasoning and technical depth.",openai:gpt-4.1-mini
Generate a structured explanation of how iterative processes fail to converge under certain constraints,text-generation,high,PARTIAL,high,"Needs a structured explanation of failure of iterative processes to converge under constraints, implying advanced reasoning about mathematical or algorithmic behavior.",openai:gpt-4.1-mini
Generate an analysis of scalability issues,text-generation,mid,PARTIAL,high,Analysis of scalability issues requires moderate reasoning and explanation but is less complex than deep trade-off essays.,openai:gpt-4.1-mini
Generate any paragraph,text-generation,low,UNCLEAR,low,"Generate any paragraph is a simple, unconstrained text generation task with minimal complexity.",openai:gpt-4.1-mini
Generate article,text-generation,mid,UNCLEAR,mid,"Generate article is a longer text generation task requiring some structure and coherence, more complex than a paragraph but without detailed constraints.",openai:gpt-4.1-mini
Generate article about exercise,text-generation,mid,PARTIAL,mid,"Generate article about exercise requires structured content on a specific topic, moderate complexity due to topical focus and article length.",openai:gpt-4.1-mini
Generate comparison,text-generation,low,UNCLEAR,mid,Generate comparison is vague but likely a simple text generation task with minimal constraints.,openai:gpt-4.1-mini
Generate comparison of apps,text-generation,mid,PARTIAL,mid,"Generate comparison of apps requires some structured comparison and reasoning about features, moderate complexity.",openai:gpt-4.1-mini
Generate comparison of jobs,text-generation,mid,PARTIAL,mid,"Generate comparison of jobs involves moderate reasoning and structured comparison, more complex than generic comparison.",openai:gpt-4.1-mini
Generate comparison of things,text-generation,low,UNCLEAR,mid,"Generate comparison of things is vague and unconstrained, likely a simple comparison task with minimal complexity.",openai:gpt-4.1-mini
Generate essay,text-generation,low,UNCLEAR,high,"Very general and minimal instruction to generate an essay, straightforward text generation task.",openai:gpt-4.1-mini
Generate essay about modularity,text-generation,mid,PARTIAL,high,"Requires generating an essay on a specific topic (modularity), implying some domain knowledge and structured writing.",openai:gpt-4.1-mini
Generate essay about system failures,text-generation,mid,PARTIAL,high,Essay on system failures requires moderate reasoning and structured explanation on a technical topic.,openai:gpt-4.1-mini
Generate explanation about convergence issues,text-generation,mid,PARTIAL,high,"Explanation about convergence issues involves technical understanding and clear exposition, moderate complexity.",openai:gpt-4.1-mini
Generate guide,text-generation,low,UNCLEAR,high,"General guide generation with no specific topic or constraints, straightforward text generation.",openai:gpt-4.1-mini
Generate guide about resilient systems,text-generation,mid,PARTIAL,high,"Guide about resilient systems requires domain knowledge and structured content, moderate complexity.",openai:gpt-4.1-mini
Generate guide about uncertainty in systems,text-generation,mid,PARTIAL,high,"Guide about uncertainty in systems involves technical concepts and structured explanation, moderate complexity.",openai:gpt-4.1-mini
Generate something about systems,text-generation,low,UNCLEAR,high,"Very vague and general prompt about systems, minimal constraints, straightforward generation.",openai:gpt-4.1-mini
Guess number using binary search API,code-generation,mid,CLEAR,low,Code generation using binary search API requires implementing a bounded algorithm with some reasoning.,openai:gpt-4.1-mini
Help me prepare a presentation for leadership.,text-generation,mid,PARTIAL,low,"Preparing a presentation for leadership involves organizing content and possibly formatting, moderate complexity.",openai:gpt-4.1-mini
"If a product's price increases by 20% and then decreases by 20%, is the final price the same as the original? Show numerically why or why not, and explain the general principle.",reasoning,mid,CLEAR,low,"Requires numerical calculation and explanation of a general principle, involving moderate reasoning steps.",openai:gpt-4.1-mini
"If a train leaves Station A at 9:00 AM travelling at 60 km/h and another train leaves Station B at 10:00 AM travelling at 80 km/h toward Station A, and the two stations are 280 km apart, at what time do the trains meet? Show your reasoning step by step.",reasoning,mid,CLEAR,low,"Involves multi-step reasoning with relative motion and time calculation, but is a bounded problem.",openai:gpt-4.1-mini
"If all mammals are warm-blooded, and a dolphin is a mammal, what can you conclude about dolphins? Now if someone claims that all warm-blooded animals are mammals, explain why that reasoning is flawed.",reasoning,low,CLEAR,low,"Simple logical deduction and explanation of a common logical fallacy, straightforward reasoning.",openai:gpt-4.1-mini
"If all squares are rectangles, and all rectangles are quadrilaterals, is every square a quadrilateral? Is every quadrilateral a square? Explain the difference in reasoning for each question.",reasoning,low,CLEAR,low,"Basic categorical logic with simple explanation, minimal reasoning steps.",openai:gpt-4.1-mini
"If it takes 4 workers 6 days to complete a task, how many days would it take 8 workers to complete the same task, assuming everyone works at the same rate? Explain the logic behind your answer.",reasoning,low,CLEAR,low,Simple proportional reasoning with a direct calculation and explanation.,openai:gpt-4.1-mini
"If n is an even number, explain why n squared is always even. Then explain why the sum of two odd numbers is always even. Use clear logical reasoning for each.",reasoning,mid,CLEAR,low,"Requires explanation of two separate logical proofs involving parity, moderate reasoning complexity.",openai:gpt-4.1-mini
"If the sum of three consecutive integers is 72, what are the three integers? Set up the equation, solve it, and verify your answer by substitution.",reasoning,low,CLEAR,low,"Straightforward algebraic setup and solution with verification, simple multi-step reasoning.",openai:gpt-4.1-mini
"If today is Wednesday, what day of the week will it be in 100 days? Explain how modular arithmetic or cycle reasoning helps solve this.",reasoning,low,CLEAR,low,"Basic modular arithmetic application to find day of week, simple reasoning.",openai:gpt-4.1-mini
"If you flip a fair coin 3 times, how many possible outcomes are there in total? What is the probability of getting exactly 2 heads? List the sample space and explain your counting.",reasoning,low,CLEAR,low,"Basic combinatorial counting and probability with listing sample space, straightforward.",openai:gpt-4.1-mini
Implement a basic queue using two stacks in Python with enqueue and dequeue operations.,code-generation,mid,CLEAR,mid,"Requires implementing a data structure with two stacks, involves moderate coding complexity but bounded scope.",openai:gpt-4.1-mini
Implement a binary search algorithm in Python that returns the index of a target value in a sorted list or -1 if not found.,code-generation,low,CLEAR,mid,Binary search is a straightforward algorithm with a simple implementation and minimal reasoning steps.,openai:gpt-4.1-mini
Implement a circular buffer in Python with fixed capacity and support for read write and is-full/is-empty checks.,code-generation,mid,CLEAR,mid,"Circular buffer requires managing fixed capacity, read/write operations, and state checks, involving moderate constraint handling.",openai:gpt-4.1-mini
