id,prompt,use_case,clarity,created_at
390,Create a blog-style explanation of digital privacy for beginners with examples,text-generation,CLEAR,2026-03-26 17:33:38.110527+00
391,Write a structured explanation of how teamwork improves project outcomes,text-generation,CLEAR,2026-03-26 17:33:38.479869+00
392,Generate a scenario describing how to handle customer complaints effectively,text-generation,CLEAR,2026-03-26 17:33:38.758766+00
393,Write a paragraph explaining the impact of social media on students with examples,text-generation,CLEAR,2026-03-26 17:33:39.047976+00
394,Create a guide explaining how to manage time effectively in a busy schedule,text-generation,CLEAR,2026-03-26 17:33:39.319813+00
395,Write a detailed email explaining a delay in project delivery and include a revised timeline,text-generation,CLEAR,2026-03-26 17:38:55.937069+00
396,Create a structured report analyzing reasons for declining user engagement in a mobile app,text-generation,CLEAR,2026-03-26 17:38:56.401456+00
397,Write a step-by-step guide for improving productivity during exam preparation,text-generation,CLEAR,2026-03-26 17:38:56.761117+00
398,Generate a comparison article between online and offline learning with clear examples,text-generation,CLEAR,2026-03-26 17:38:57.179273+00
399,Write a professional message requesting feedback on a completed assignment,text-generation,CLEAR,2026-03-26 17:38:57.45017+00
400,Write a Python class to implement a stack data structure with push pop peek and is_empty methods.,code-generation,CLEAR,2026-03-26 17:40:19.925845+00
401,Implement a binary search algorithm in Python that returns the index of a target value in a sorted list or -1 if not found.,code-generation,CLEAR,2026-03-26 17:40:20.176114+00
402,Write a Python function that parses a CSV string into a list of dictionaries using the header row as keys.,code-generation,CLEAR,2026-03-26 17:40:20.382065+00
403,Implement a simple LRU cache in Python using an OrderedDict with a fixed capacity and get/put methods.,code-generation,CLEAR,2026-03-26 17:40:20.576274+00
404,Write a Python decorator that logs the execution time of any function it wraps.,code-generation,CLEAR,2026-03-26 17:40:20.780462+00
405,Implement a linked list in Python with methods for insertion at head deletion by value and printing all nodes.,code-generation,CLEAR,2026-03-26 17:42:15.135354+00
406,Write a Python function that reads a JSON file updates a specific key's value and writes the result back to the file.,code-generation,CLEAR,2026-03-26 17:42:15.338076+00
407,Implement a depth-first search DFS algorithm in Python on a graph represented as an adjacency list.,code-generation,CLEAR,2026-03-26 17:42:15.52383+00
408,Write a Python function that takes a list of employee dictionaries with name age department fields and groups them by department.,code-generation,CLEAR,2026-03-26 17:42:15.863671+00
409,Implement a Python context manager class that tracks and logs all exceptions raised within the with block.,code-generation,CLEAR,2026-03-26 17:42:16.356743+00
410,Write a JavaScript async function that fetches data from a public REST API and returns only records matching a given filter condition.,code-generation,PARTIAL,2026-03-26 17:44:17.518717+00
411,Implement a rate limiter in Python that allows at most N function calls per second using a token bucket approach.,code-generation,CLEAR,2026-03-26 17:44:17.704849+00
412,Write a Python function that validates an email address using a regular expression and returns True or False.,code-generation,CLEAR,2026-03-26 17:44:17.906305+00
413,Implement a basic queue using two stacks in Python with enqueue and dequeue operations.,code-generation,CLEAR,2026-03-26 17:44:18.089055+00
414,Write a Python script that monitors a directory for new files and prints the filename and creation time whenever a new file appears.,code-generation,CLEAR,2026-03-26 17:44:18.315814+00
415,Write about cloud storage,text-generation,PARTIAL,2026-03-26 17:44:54.753936+00
416,Create report about technology,text-generation,PARTIAL,2026-03-26 17:44:55.124851+00
417,Write guide about focus,text-generation,PARTIAL,2026-03-26 17:44:55.410238+00
418,Generate comparison of jobs,text-generation,PARTIAL,2026-03-26 17:44:55.793708+00
419,Write about habits,text-generation,PARTIAL,2026-03-26 17:44:56.13288+00
420,Implement merge sort in Python that sorts a list of integers in ascending order.,code-generation,CLEAR,2026-03-26 17:46:25.362189+00
421,Write a Python function that generates all permutations of a given string without using itertools.,code-generation,CLEAR,2026-03-26 17:46:25.540709+00
422,Implement a simple event emitter class in Python with on emit and off methods for managing event listeners.,code-generation,CLEAR,2026-03-26 17:46:25.746572+00
423,Write a Python function that connects to a SQLite database creates a users table inserts a record and fetches all rows.,code-generation,CLEAR,2026-03-26 17:46:26.042123+00
424,Implement a trie data structure in Python with insert and search methods for string keys.,code-generation,CLEAR,2026-03-26 17:46:26.321712+00
425,Write a Python function that takes a nested dictionary of arbitrary depth and flattens it into a single-level dictionary with dot-separated keys.,code-generation,CLEAR,2026-03-26 17:49:18.030653+00
426,Implement a thread-safe counter in Python using the threading module with increment and get methods.,code-generation,CLEAR,2026-03-26 17:49:18.236369+00
427,Write a JavaScript class that implements a simple publish-subscribe pattern with subscribe unsubscribe and publish methods.,code-generation,CLEAR,2026-03-26 17:49:18.411422+00
428,Implement quicksort in Python and verify it handles duplicate elements empty lists and single-element lists correctly.,code-generation,CLEAR,2026-03-26 17:49:18.721354+00
429,Write a Python function that scrapes the title and URL of all links from a given webpage using BeautifulSoup.,code-generation,CLEAR,2026-03-26 17:49:18.888488+00
430,Create a professional email requesting technical support with issue details,text-generation,PARTIAL,2026-03-26 17:49:39.440844+00
431,Write a report describing importance of feedback in product improvement,text-generation,PARTIAL,2026-03-26 17:49:39.811682+00
432,Generate a guide explaining how to use a new software tool step-by-step,text-generation,PARTIAL,2026-03-26 17:49:40.307199+00
433,Write an article about advantages and disadvantages of remote work,text-generation,CLEAR,2026-03-26 17:49:40.582294+00
434,Create a message thanking a team for completing a project,text-generation,CLEAR,2026-03-26 17:49:40.870916+00
435,Implement a Python function that evaluates a mathematical expression given as a string supporting + - * / without using eval.,code-generation,CLEAR,2026-03-26 17:50:54.909694+00
436,Write a Python class that implements a binary search tree with insert search and in-order traversal methods.,code-generation,CLEAR,2026-03-26 17:50:55.843245+00
437,Implement a debounce function in JavaScript that delays invoking a callback until after a specified wait time has passed since the last call.,code-generation,CLEAR,2026-03-26 17:50:56.039347+00
438,Write a Python function that takes a list of transactions each with date amount and category and returns a monthly summary grouped by category.,code-generation,CLEAR,2026-03-26 17:50:56.28298+00
439,Implement a simple in-memory key-value store in Python that supports set get delete and list-all-keys operations with TTL time to live per key.,code-generation,CLEAR,2026-03-26 17:50:56.473697+00
440,Write a Python script that reads a large text file line by line and counts the frequency of each word using a generator.,code-generation,CLEAR,2026-03-26 17:52:52.785681+00
441,Implement the observer design pattern in Python with Subject and Observer classes and a working notification example.,code-generation,CLEAR,2026-03-26 17:52:53.052021+00
442,Write a Python function that validates a JSON schema given a schema dict and a data dict check that all required fields exist and have the correct types.,code-generation,CLEAR,2026-03-26 17:52:53.277571+00
443,Implement a circular buffer in Python with fixed capacity and support for read write and is-full/is-empty checks.,code-generation,CLEAR,2026-03-26 17:52:53.526311+00
444,Write a Python function that takes two sorted lists and merges them into a single sorted list without using sort().,code-generation,CLEAR,2026-03-26 17:52:53.712029+00
445,Implement a simple CLI argument parser in Python from scratch without using argparse supporting --flag and --key=value syntax.,code-generation,CLEAR,2026-03-26 17:55:11.059668+00
446,Write a Python async function using asyncio that fetches multiple URLs concurrently and returns their response lengths.,code-generation,CLEAR,2026-03-26 17:55:11.279835+00
447,Implement a graph class in Python with methods for adding nodes/edges BFS traversal and detecting cycles in an undirected graph.,code-generation,CLEAR,2026-03-26 17:55:11.478487+00
448,Write a Python function that compresses a string using run-length encoding and decompresses it back to the original.,code-generation,CLEAR,2026-03-26 17:55:11.693693+00
449,Implement a retry decorator in Python that re-executes a failing function up to N times with exponential backoff.,code-generation,CLEAR,2026-03-26 17:55:11.872127+00
450,Write a structured explanation of how cloud storage works with examples,text-generation,CLEAR,2026-03-26 17:55:18.47285+00
451,Create a report explaining how technology improves productivity,text-generation,PARTIAL,2026-03-26 17:55:19.284502+00
452,Write a guide on improving focus while studying with steps,text-generation,CLEAR,2026-03-26 17:55:19.501044+00
453,Generate a comparison of two job roles with responsibilities,text-generation,PARTIAL,2026-03-26 17:55:19.735705+00
454,Write a paragraph explaining how habits affect success,text-generation,CLEAR,2026-03-26 17:55:20.35269+00
455,Write a Python function that parses a log file and extracts all lines with ERROR level returning them with their timestamps.,code-generation,CLEAR,2026-03-26 17:56:53.793351+00
456,Implement a min-heap in Python from scratch with insert and extract-min operations without using the heapq module.,code-generation,CLEAR,2026-03-26 17:56:54.003319+00
457,Write a Python function that takes a list of intervals and merges all overlapping ones into a minimal set.,code-generation,CLEAR,2026-03-26 17:56:54.183539+00
458,Implement a simple tokenizer in Python that splits a mathematical expression into numbers operators and parentheses.,code-generation,CLEAR,2026-03-26 17:56:54.371825+00
459,Write a Python function that uses memoization to solve the 0/1 knapsack problem given weights values and a capacity.,code-generation,CLEAR,2026-03-26 17:56:55.267174+00
460,Write code that does some kind of sorting on data with a few conditions.,code-generation,PARTIAL,2026-03-26 17:58:33.621723+00
461,Build a class that manages some objects and has methods to add and remove them.,code-generation,PARTIAL,2026-03-26 17:58:33.87684+00
462,Write a function to process a file and extract some useful information from it.,code-generation,PARTIAL,2026-03-26 17:58:34.050314+00
463,Implement something that handles async requests and returns results.,code-generation,PARTIAL,2026-03-26 17:58:34.248569+00
464,Write a script that connects to a database and does some queries.,code-generation,PARTIAL,2026-03-26 17:58:34.428779+00
465,Create a caching system for some type of function.,code-generation,PARTIAL,2026-03-26 18:00:43.750921+00
466,Write code that scrapes some data from a website and saves it.,code-generation,PARTIAL,2026-03-26 18:00:43.957724+00
467,Build a function that validates some form of user input.,code-generation,PARTIAL,2026-03-26 18:00:44.151887+00
468,Write something that implements a design pattern for managing state.,code-generation,PARTIAL,2026-03-26 18:00:44.330681+00
469,Write a data processing function that handles some edge cases and transforms the input.,code-generation,PARTIAL,2026-03-26 18:00:44.50811+00
470,Create message about event,text-generation,PARTIAL,2026-03-26 18:00:44.971918+00
471,Write guide about planning,text-generation,PARTIAL,2026-03-26 18:00:45.433537+00
472,Generate comparison,text-generation,UNCLEAR,2026-03-26 18:00:45.821571+00
473,Write about stress,text-generation,PARTIAL,2026-03-26 18:00:46.182937+00
474,Create message,text-generation,UNCLEAR,2026-03-26 18:00:46.481008+00
475,Make a system that handles something in real time with some logic.,code-generation,UNCLEAR,2026-03-26 18:02:37.796641+00
476,Write something about meetings,text-generation,PARTIAL,2026-03-26 18:06:07.09864+00
477,Create report about strategies,text-generation,PARTIAL,2026-03-26 18:06:07.755971+00
478,Write guide for something,text-generation,UNCLEAR,2026-03-26 18:06:08.324772+00
479,Generate article,text-generation,UNCLEAR,2026-03-26 18:06:08.836649+00
480,Write about communication,text-generation,PARTIAL,2026-03-26 18:06:09.141063+00
481,Generate explanation about convergence issues,text-generation,PARTIAL,2026-03-26 18:17:55.267941+00
482,Write report about prioritization strategies,text-generation,PARTIAL,2026-03-26 18:17:55.80854+00
483,Create guide about constraints,text-generation,PARTIAL,2026-03-26 18:17:56.05177+00
484,Generate essay about modularity,text-generation,PARTIAL,2026-03-26 18:17:56.301682+00
485,Write about randomness in systems,text-generation,PARTIAL,2026-03-26 18:17:56.589735+00
486,Design and implement a RESTful API in Python using FastAPI with JWT authentication role-based access control and CRUD endpoints for a user management system backed by PostgreSQL.,code-generation,CLEAR,2026-03-26 18:20:08.588331+00
487,Implement a distributed task queue system in Python using Redis as the broker with support for task prioritization retries with exponential backoff and a worker pool that processes tasks concurrently.,code-generation,CLEAR,2026-03-26 18:20:09.006327+00
488,Build a real-time collaborative document editing backend in Node.js using WebSockets supporting multiple simultaneous users conflict resolution using operational transforms and persistent storage in MongoDB.,code-generation,CLEAR,2026-03-26 18:20:09.307249+00
489,Design a microservices architecture for an e-commerce platform with separate services for user auth product catalog order management and payment processing communicating via a message broker like RabbitMQ.,code-generation,PARTIAL,2026-03-26 18:20:09.554825+00
490,Implement a full-text search engine in Python from scratch with inverted index construction TF-IDF ranking and support for boolean queries across a collection of documents.,code-generation,CLEAR,2026-03-26 18:20:09.846083+00
491,Build a CI/CD pipeline orchestrator in Python that reads a YAML pipeline config executes stages sequentially or in parallel streams logs handles failures and reports status to a webhook.,code-generation,PARTIAL,2026-03-26 18:22:27.86234+00
492,Implement a distributed key-value store in Python using consistent hashing for data partitioning across nodes with replication factor support and automatic failover when a node goes down.,code-generation,PARTIAL,2026-03-26 18:22:28.606398+00
493,Design and build a GraphQL API in Node.js using Apollo Server with resolvers for a social media platform including nested queries for posts comments likes and user followers backed by PostgreSQL.,code-generation,PARTIAL,2026-03-26 18:22:28.83653+00
494,Build a rate-limiting middleware system in Python that supports per-user and per-endpoint limits uses a sliding window algorithm stored in Redis and returns appropriate 429 responses with retry-after headers.,code-generation,PARTIAL,2026-03-26 18:22:29.04734+00
495,Implement an event sourcing system in Python where all state changes are stored as immutable events with projections to rebuild current state and support for replaying events from a given point in time.,code-generation,PARTIAL,2026-03-26 18:22:29.257633+00
496,Write about detecting inconsistencies in systems,text-generation,PARTIAL,2026-03-26 18:22:41.763411+00
497,Create report about decisions with missing information,text-generation,PARTIAL,2026-03-26 18:22:42.092277+00
498,Generate guide about resilient systems,text-generation,PARTIAL,2026-03-26 18:22:42.383184+00
499,Write about design flaws causing failures,text-generation,PARTIAL,2026-03-26 18:22:42.612845+00
500,Create article about system boundaries,text-generation,PARTIAL,2026-03-26 18:22:42.879096+00
501,Design a plugin architecture in Python where plugins are loaded dynamically from a directory register themselves via entry points can extend a core application's behavior and are isolated to prevent crashes from affecting the host.,code-generation,PARTIAL,2026-03-26 18:25:41.343448+00
502,Build a real-time anomaly detection pipeline in Python that ingests a stream of numeric metrics uses a sliding window z-score algorithm to flag anomalies and sends alerts via a webhook when thresholds are breached.,code-generation,CLEAR,2026-03-26 18:25:41.561308+00
503,Implement a multi-tenant SaaS application backend in Python using FastAPI where each tenant has isolated data in separate PostgreSQL schemas with tenant resolution via subdomain and middleware-based schema switching.,code-generation,CLEAR,2026-03-26 18:25:41.791739+00
504,Build a job scheduling system in Python similar to cron that parses cron expressions schedules jobs in a thread pool handles missed executions and persists job state to survive restarts.,code-generation,CLEAR,2026-03-26 18:25:41.997693+00
505,Design and implement an OAuth 2.0 authorization server in Python supporting the authorization code flow with PKCE token issuance refresh token rotation and token introspection endpoints.,code-generation,CLEAR,2026-03-26 18:25:42.18818+00
506,Implement a columnar in-memory database engine in Python that supports CREATE TABLE INSERT and SELECT with WHERE and GROUP BY clauses using columnar storage for efficient aggregations.,code-generation,CLEAR,2026-03-26 18:27:57.530816+00
507,Build a load balancer in Python that distributes HTTP requests across multiple backend servers using weighted round-robin performs health checks every N seconds and removes unhealthy backends automatically.,code-generation,CLEAR,2026-03-26 18:27:57.718864+00
508,Design a declarative data validation framework in Python where validation rules are defined as class-level annotations supports nested objects and lists and returns structured error reports with field paths.,code-generation,CLEAR,2026-03-26 18:27:57.910367+00
509,Implement a write-ahead log WAL in Python for crash recovery where all mutations are first written to an append-only log file and can be replayed to restore state after an unexpected shutdown.,code-generation,CLEAR,2026-03-26 18:27:58.101858+00
510,Build a streaming data processing engine in Python that supports a pipeline of operators filter map aggregate join on infinite data streams with configurable window sizes and watermark-based late data handling.,code-generation,CLEAR,2026-03-26 18:27:58.299853+00
511,Generate a structured explanation of how iterative processes fail to converge under certain constraints,text-generation,PARTIAL,2026-03-26 18:28:21.427364+00
512,Write a report analyzing how prioritization strategies affect final system outcomes,text-generation,PARTIAL,2026-03-26 18:28:21.625772+00
513,Create a detailed guide explaining how relaxing constraints changes feasible solution spaces,text-generation,PARTIAL,2026-03-26 18:28:21.824832+00
514,Generate a structured essay explaining trade-offs between modularity and performance in systems,text-generation,PARTIAL,2026-03-26 18:28:22.022756+00
515,Write a technical explanation showing how randomness affects predictability in complex systems,text-generation,PARTIAL,2026-03-26 18:28:22.218421+00
516,"A company has three departments: Sales, Engineering, and Operations. Sales has 40 employees and generates $2.4M revenue. Engineering has 25 employees and generates $1.8M revenue. Operations has 35 employees and generates $0.9M revenue. Calculate revenue per employee for each department. Then determine which department should receive priority budget if the goal is to maximise revenue per additional hire. Show your full reasoning including any assumptions you make.",reasoning,CLEAR,2026-03-26 18:29:16.588927+00
517,A population of bacteria doubles every 3 hours. At 9:00 AM there are 500 bacteria. At what time will the population first exceed 1 million? Show the exponential reasoning step by step and explain why linear estimation would give a wrong answer here.,reasoning,CLEAR,2026-03-26 18:29:16.777268+00
518,"You are comparing two job offers. Job A pays $72,000 per year with a 5% annual raise and no bonus. Job B pays $65,000 per year with a 10% annual raise and a $3,000 signing bonus. After how many years does Job B's cumulative earnings overtake Job A's cumulative earnings? Show the year-by-year comparison and reason through when the crossover happens.",reasoning,CLEAR,2026-03-26 18:29:16.93653+00
519,A store has a loyalty programme: every 5th purchase gets 20% off. A customer makes 13 purchases at an average price of $45. How much did the customer save in total through the loyalty discount? How much would they have saved if the discount applied every 4th purchase instead? Compare and explain.,reasoning,CLEAR,2026-03-26 18:29:17.094878+00
520,"Three investors put money into a startup in the ratio 2:3:5. The startup is sold for $480,000. After repaying a $30,000 loan taken equally from all three investors, the remaining profit is split according to the original investment ratio. How much does each investor receive? Show each stage of reasoning.",reasoning,CLEAR,2026-03-26 18:29:17.255511+00
521,Design and implement a service mesh sidecar proxy in Python that intercepts all inbound and outbound HTTP traffic for a service enforces circuit breaking collects latency metrics and reports them to a central collector.,code-generation,PARTIAL,2026-03-26 18:30:19.887995+00
522,Implement a multi-level caching system in Python with L1 in-process dict L2 Redis and L3 database layers automatic cache population on miss TTL-based expiry at each level and cache invalidation on write.,code-generation,PARTIAL,2026-03-26 18:30:20.079571+00
523,Build an API gateway in Python that handles routing to multiple backend microservices request/response transformation authentication via JWT request aggregation for composite endpoints and OpenAPI spec generation.,code-generation,PARTIAL,2026-03-26 18:30:20.258086+00
524,Design and implement a distributed tracing system in Python where each service call generates a trace span with timing and metadata spans are propagated via HTTP headers and a collector aggregates them into complete traces.,code-generation,PARTIAL,2026-03-26 18:30:20.453101+00
525,Implement a peer-to-peer file sharing system in Python where nodes can discover each other via a DHT split files into chunks for parallel download verify integrity with checksums and reassemble them correctly.,code-generation,PARTIAL,2026-03-26 18:30:20.631244+00
526,Build a real-time leaderboard system using Redis sorted sets supporting score updates rank queries paginated top-N retrieval and a WebSocket server that pushes live rank changes to connected clients.,code-generation,CLEAR,2026-03-26 18:32:59.062223+00
527,Design a workflow engine in Python that executes directed acyclic graphs DAGs of tasks resolves dependencies runs independent tasks in parallel handles retries and supports pause/resume of running workflows.,code-generation,CLEAR,2026-03-26 18:32:59.260537+00
528,Implement a database connection pool in Python from scratch with configurable min/max connections connection validation on checkout automatic recycling of stale connections and overflow handling.,code-generation,CLEAR,2026-03-26 18:32:59.441802+00
529,Build a reactive state management library in Python inspired by Redux with a central store pure reducer functions middleware support for async actions and a subscription mechanism for state change notifications.,code-generation,CLEAR,2026-03-26 18:32:59.632082+00
530,Design and implement a log aggregation system in Python that collects logs from multiple sources via a TCP socket parses structured log formats indexes them in Elasticsearch and exposes a query API.,code-generation,CLEAR,2026-03-26 18:32:59.938168+00
531,"A company has three departments: Sales, Engineering, and Operations. Sales has 40 employees and generates $2.4M revenue. Engineering has 25 employees and generates $1.8M revenue. Operations has 35 employees and generates $0.9M revenue. Calculate revenue per employee for each department. Then determine which department should receive priority budget if the goal is to maximise revenue per additional hire. Show your full reasoning including any assumptions you make.",reasoning,CLEAR,2026-03-26 18:35:02.879095+00
532,A population of bacteria doubles every 3 hours. At 9:00 AM there are 500 bacteria. At what time will the population first exceed 1 million? Show the exponential reasoning step by step and explain why linear estimation would give a wrong answer here.,reasoning,CLEAR,2026-03-26 18:35:03.056973+00
533,"You are comparing two job offers. Job A pays $72,000 per year with a 5% annual raise and no bonus. Job B pays $65,000 per year with a 10% annual raise and a $3,000 signing bonus. After how many years does Job B's cumulative earnings overtake Job A's cumulative earnings? Show the year-by-year comparison and reason through when the crossover happens.",reasoning,CLEAR,2026-03-26 18:35:03.214342+00
534,A store has a loyalty programme: every 5th purchase gets 20% off. A customer makes 13 purchases at an average price of $45. How much did the customer save in total through the loyalty discount? How much would they have saved if the discount applied every 4th purchase instead? Compare and explain.,reasoning,CLEAR,2026-03-26 18:35:03.386486+00
535,"Three investors put money into a startup in the ratio 2:3:5. The startup is sold for $480,000. After repaying a $30,000 loan taken equally from all three investors, the remaining profit is split according to the original investment ratio. How much does each investor receive? Show each stage of reasoning.",reasoning,CLEAR,2026-03-26 18:35:03.544399+00
536,Implement a container orchestration mini-system in Python that manages Docker containers via the Docker SDK ensures desired replica counts are maintained restarts failed containers and balances them across available hosts.,code-generation,PARTIAL,2026-03-26 18:35:06.979151+00
537,Build a semantic search system using Python that encodes documents with a sentence transformer model stores embeddings in a vector database and retrieves the top-k most semantically similar documents for a query.,code-generation,PARTIAL,2026-03-26 18:35:07.159297+00
538,Design a multi-agent simulation framework in Python where agents have individual state and behavior rules interact with a shared environment and the system supports configurable tick rates and pluggable rendering backends.,code-generation,PARTIAL,2026-03-26 18:35:07.336804+00
539,Implement a CQRS Command Query Responsibility Segregation pattern in Python for an order management system with separate command and query models a command bus event publishing and a denormalized read model.,code-generation,PARTIAL,2026-03-26 18:35:07.528696+00
540,Build a self-healing distributed system in Python where nodes monitor each other via heartbeats elect a leader using the Raft consensus algorithm and automatically rebalance responsibilities when a node joins or leaves.,code-generation,PARTIAL,2026-03-26 18:35:07.973365+00
541,Write a detailed explanation of how inconsistencies in multi-source data systems can be detected and resolved,text-generation,CLEAR,2026-03-26 18:35:31.799579+00
542,Create a structured report analyzing how decision-making changes under incomplete information conditions,text-generation,CLEAR,2026-03-26 18:35:32.007625+00
543,Generate a comprehensive guide explaining how to design systems resilient to adversarial inputs,text-generation,CLEAR,2026-03-26 18:35:32.202714+00
544,Write a formal analysis showing how minor design flaws escalate into large-scale system failures,text-generation,CLEAR,2026-03-26 18:35:32.39752+00
545,Create a technical article describing how system boundaries influence overall system behavior,text-generation,CLEAR,2026-03-26 18:35:32.588122+00
546,Design and implement a data pipeline framework in Python where pipelines are defined as composable steps in YAML support parallel branches allow conditional execution and emit structured metrics for each step run.,code-generation,PARTIAL,2026-03-26 18:37:43.24479+00
547,Build a feature flag service in Python with a REST API for managing flags support for percentage rollouts and user segment targeting a client SDK that evaluates flags locally from a cached ruleset and an audit log.,code-generation,PARTIAL,2026-03-26 18:37:44.005224+00
548,Implement a reverse proxy server in Python with SSL termination HTTP/2 support request caching with cache-control header compliance and configurable rewrite rules defined in a YAML file.,code-generation,PARTIAL,2026-03-26 18:37:44.20165+00
549,Design a type-safe ORM in Python using metaclasses that maps Python classes to database tables supports relationships one-to-many many-to-many lazy loading and generates parameterized SQL queries.,code-generation,PARTIAL,2026-03-26 18:37:46.231062+00
550,Build a real-time fraud detection system in Python that ingests transaction events via Kafka evaluates each transaction against a set of configurable rules and ML model scores and flags suspicious ones with reasons.,code-generation,PARTIAL,2026-03-26 18:37:46.420012+00
551,"A cyclist and a runner start from the same point at the same time and travel in the same direction. The cyclist travels at 24 km/h and the runner at 8 km/h. After 45 minutes, the cyclist turns around and heads back toward the runner. At what point in time and distance from the start do they meet? Show your reasoning with equations.",reasoning,CLEAR,2026-03-26 18:38:06.353394+00
552,"A school records test scores for 3 classes. Class A: mean 72, 30 students. Class B: mean 78, 25 students. Class C: mean 81, 20 students. What is the combined weighted mean score across all three classes? Explain why a simple average of the three means would give the wrong answer.",reasoning,CLEAR,2026-03-26 18:38:06.514514+00
553,"A bag contains 5 red, 4 blue, and 3 green balls. Two balls are drawn without replacement. What is the probability that both balls are the same colour? Show the calculation for each colour and sum the probabilities correctly.",reasoning,CLEAR,2026-03-26 18:38:06.688401+00
554,"You invest $10,000 at 6% annual compound interest. A friend invests $12,000 at 4% annual compound interest. After how many years will your investment first exceed your friend's? Show the compound interest formula applied to both, and reason through the year of crossover.",reasoning,CLEAR,2026-03-26 18:38:06.85432+00
555,"A factory produces items at a rate of 200 per hour but 4% are defective. A quality check catches 85% of defective items before shipping. In an 8-hour shift, how many defective items are shipped? Now if the quality check rate improves to 95%, how many defective items are prevented per week assuming 5 working days? Show all stages of reasoning.",reasoning,CLEAR,2026-03-26 18:38:07.017779+00
556,"A cyclist and a runner start from the same point at the same time and travel in the same direction. The cyclist travels at 24 km/h and the runner at 8 km/h. After 45 minutes, the cyclist turns around and heads back toward the runner. At what point in time and distance from the start do they meet? Show your reasoning with equations.",reasoning,CLEAR,2026-03-26 18:40:02.90739+00
557,"A school records test scores for 3 classes. Class A: mean 72, 30 students. Class B: mean 78, 25 students. Class C: mean 81, 20 students. What is the combined weighted mean score across all three classes? Explain why a simple average of the three means would give the wrong answer.",reasoning,CLEAR,2026-03-26 18:40:03.08453+00
558,"A bag contains 5 red, 4 blue, and 3 green balls. Two balls are drawn without replacement. What is the probability that both balls are the same colour? Show the calculation for each colour and sum the probabilities correctly.",reasoning,CLEAR,2026-03-26 18:40:03.249866+00
559,"You invest $10,000 at 6% annual compound interest. A friend invests $12,000 at 4% annual compound interest. After how many years will your investment first exceed your friend's? Show the compound interest formula applied to both, and reason through the year of crossover.",reasoning,CLEAR,2026-03-26 18:40:03.42155+00
560,"A factory produces items at a rate of 200 per hour but 4% are defective. A quality check catches 85% of defective items before shipping. In an 8-hour shift, how many defective items are shipped? Now if the quality check rate improves to 95%, how many defective items are prevented per week assuming 5 working days? Show all stages of reasoning.",reasoning,CLEAR,2026-03-26 18:40:03.579628+00
561,Generate essay,text-generation,UNCLEAR,2026-03-26 18:40:12.913018+00
562,Write about problems in systems,text-generation,PARTIAL,2026-03-26 18:40:13.10184+00
563,Create report,text-generation,UNCLEAR,2026-03-26 18:40:13.290997+00
564,Generate guide,text-generation,UNCLEAR,2026-03-26 18:40:13.483122+00
565,Write something complex about systems,text-generation,PARTIAL,2026-03-26 18:40:13.674711+00
566,"In a round-robin tournament, every team plays every other team exactly once. There are 8 teams. How many total matches are played? If each match takes 2 hours and there are 3 pitches available running simultaneously, what is the minimum number of days needed if each day has 6 hours of play? Reason through both parts.",reasoning,CLEAR,2026-03-26 18:40:20.093848+00
567,"A 500-page book has words distributed across pages such that the first half averages 280 words per page and the second half averages 320 words per page. Estimate the total word count. If a reader reads at 250 words per minute for 45 minutes per day, how many days will it take to finish the book? Show each step and flag any assumptions.",reasoning,CLEAR,2026-03-26 18:40:20.263175+00
568,"A rectangular garden is 12m by 8m. A path 1.5m wide runs around the outside of the garden. What is the area of the path alone? If paving costs $35 per square metre, what is the total cost? Now if the path width doubles, by what factor does the path area increase? Reason through each part.",reasoning,CLEAR,2026-03-26 18:40:20.424386+00
569,"An item costs $240 wholesale. A retailer marks it up by 40%, then offers a 15% promotional discount on the marked-up price. A customer also has a loyalty voucher giving a further $10 off. What is the final price? What is the effective percentage change from the original wholesale price? Show every step.",reasoning,CLEAR,2026-03-26 18:40:20.585015+00
570,"A car loan of $18,000 is taken at 7% annual interest over 4 years using simple interest. What is the total amount repaid? Now if compound interest is used instead at the same rate, what is the total repaid? Show both calculations and explain the difference in outcome.",reasoning,CLEAR,2026-03-26 18:40:20.74287+00
571,Implement a serverless function execution engine in Python that loads function code from a registry executes each invocation in an isolated subprocess with resource limits captures stdout/stderr and returns results via HTTP.,code-generation,CLEAR,2026-03-26 18:41:24.556295+00
572,Design and build a multi-region data replication system in Python where writes to a primary region are asynchronously replicated to secondaries conflicts are resolved using last-write-wins with vector clocks and lag is monitored.,code-generation,CLEAR,2026-03-26 18:41:24.743983+00
573,Build a code execution sandbox in Python that accepts arbitrary Python snippets via an API runs them in a Docker container with CPU and memory limits captures output and errors and returns results within a timeout.,code-generation,CLEAR,2026-03-26 18:41:25.018402+00
574,Implement a distributed rate limiter in Python using Redis Lua scripts for atomic sliding window counters that work correctly across multiple API server instances without race conditions.,code-generation,CLEAR,2026-03-26 18:41:25.216845+00
575,Design a recommendation engine in Python that builds a user-item interaction matrix from event logs applies collaborative filtering using matrix factorization and serves personalized top-N recommendations via a REST API.,code-generation,CLEAR,2026-03-26 18:41:25.391267+00
576,"A city's population grows at 3% per year. Currently 850,000 people. A neighbouring city's population shrinks at 1.5% per year from 1,100,000. In how many years will the first city's population exceed the second city's? Use year-by-year estimation or logarithmic reasoning, and explain your method.",reasoning,CLEAR,2026-03-26 18:41:37.092271+00
